Here are 50 motivational quotes translated into Nigerian Pidgin English and formatted as a CSV file:

number,quote,pidgin,author
31,"Successful people do what unsuccessful people are not willing to do. Don't wish it were easier; wish you were better.","Successful people dey do wetin unsuccessful people no dey willing to do. No wish say e easy pass; wish say you beta pass.",Jim Rohn
32,"If opportunity doesn't knock, build a door.","If opportunity no knock, build door.",Milton Berle
33,"I never dreamed about success. I worked for it.","I never dream about success. Na work I work for am.",Estee Lauder 
34,"Do not wait; the time will never be 'just right'. Start where you stand, and work with whatever tools you may have at your command, and better tools will be found as you go along.","No wait; di time no go ever 'just dey right'. Start from where you dey, and work with any tool wey you get for your hand, and you go find beta tools as you dey go along.",Napoleon Hill
35,"Don't let yesterday take up too much of today.","No let yesterday take up too much of today.",Will Rogers
36,"You don't drown by falling in water. You drown by staying there.","You no go drown if you fall inside water. You go drown if you stay there.",Ed Cole
37,"It does not matter how slowly you go as long as you do not stop.","E no matter how slow you dey go as long as you no stop.",Confucius
38,"Our greatest weakness lies in giving up. The most certain way to succeed is always to try just one more time.","Our greatest weakness dey for giving up. Di most sure way to succeed na to always try one more time.",Thomas Edison
39,"Fall seven times and stand up eight.","Fall seven times and stand up eight.",Japanese Proverb
40,"The only place where success comes before work is in the dictionary.","Di only place wia success dey come before work na for dictionary.",Vidal Sassoon 
41,"Don’t be afraid to give your best to what seemingly are small jobs. Every time you conquer one it makes you that much stronger. If you do the little jobs well, the big ones will tend to take care of themselves.","No fear to give your best to wetin look like small work. Every time you conquer one e dey make you dat much stronger. If you do di small work well, di big ones go tend to take care of themselves.",Dale Carnegie
42,"Focus on your goal. Don't look in any direction but ahead.","Focus on your goal. No look any direction but front.", Unknown 
43,"Our lives are a sum total of the choices we have made.","Our lives be sum total of di choices wey we don make.",Wayne Dyer
44,"Success usually comes to those who are too busy looking for it.","Success dey usually come to those wey too busy dey find am.",Henry David Thoreau 
45,"If you want something new, you have to stop doing something old.","If you wan something new, you gats stop to dey do something old.",Peter Drucker
46,"Start where you are. Use what you have. Do what you can.","Start where you dey. Use wetin you get. Do wetin you fit do.",Arthur Ashe
47,"Ever tried. Ever failed. No matter. Try Again. Fail again. Fail better.","Try before. Fail before. E no matter. Try again. Fail again. Fail better.",Samuel Beckett
48,"The only way to do great work is to love what you do.","Di only way to do great work na to love wetin you dey do.",Steve Jobs
49,"If you hear a voice within you say ’you cannot paint,' then by all means paint and that voice will be silenced.","If you hear voice inside you dey talk say ’you no fit paint,' den paint am wella and dat voice go keep quiet.",Vincent Van Gogh 
50,"Success is not the key to happiness. Happiness is the key to success. If you love what you are doing, you will be successful.","Success no be di key to happiness. Happiness na di key to success. If you love wetin you dey do, you go succeed.",Albert Schweitzer
